N,replicate,jobs,oracle_cost,tpr_cost,gap_per_household,zero_zone_fraction,coordinator_margin_min,min_household_saving,runtime_seconds
30,15,60,-520.7779975479217,-520.7779975479216,3.789561257387201e-15,0.0,-3.552713678800501e-15,1.0454620313891354,0.011323955841362476
40,0,70,-779.8444409019422,-779.8444409019421,2.842170943040401e-15,0.0,-3.552713678800501e-15,0.0,0.012757033109664917
40,1,78,-739.7678571181947,-739.7678571181948,0.0,0.0,-3.552713678800501e-15,1.8706477119368756,0.013805612921714783
40,2,71,-770.0810036489635,-770.0810036489638,0.0,0.0,-3.552713678800501e-15,0.0,0.012904590927064419
40,3,65,-792.0996000730029,-792.0996000730029,0.0,0.0,-3.552713678800501e-15,0.0,0.012205407954752445
40,4,65,-789.8621103252574,-789.8621103252575,0.0,0.0,-3.552713678800501e-15,0.0,0.01232723705470562
40,5,77,-739.0098186504877,-739.0098186504879,0.0,0.0,-3.552713678800501e-15,0.8243333714716172,0.013522765599191189
40,6,76,-737.5980036702066,-737.5980036702065,2.842170943040401e-15,0.0,-3.552713678800501e-15,0.3891596503331094,0.013356508687138557
40,7,69,-772.0928501056252,-772.0928501056251,2.842170943040401e-15,0.0,-3.552713678800501e-15,0.0,0.012658894062042236
40,8,68,-793.605724097505,-793.6057240975051,0.0,0.0,-3.552713678800501e-15,0.0,0.012506725266575813
40,9,64,-820.1150777462105,-820.1150777462105,0.0,0.0,-2.6645352591003757e-15,0.0,0.012123579159379005
40,10,74,-758.7262807977446,-758.7262807977447,0.0,0.0,-3.552713678800501e-15,0.0,0.013159048743546009
40,11,80,-708.3992006298965,-708.3992006298967,0.0,0.0,-3.552713678800501e-15,0.0,0.013986211270093918
40,12,67,-762.5320998520174,-762.5320998520177,0.0,0.0,-1.7763568394002505e-15,0.0,0.012688753195106983
40,13,66,-807.0073426770454,-807.0073426770457,0.0,0.0,-3.552713678800501e-15,0.0,0.01223787758499384
40,14,71,-756.3274296979387,-756.3274296979387,0.0,0.0,-3.552713678800501e-15,0.0,0.013011560775339603
40,15,75,-737.2553542542166,-737.2553542542169,0.0,0.0,-3.552713678800501e-15,1.0387858203516807,0.013526136055588722
50,0,78,-1044.6326444913848,-1044.6326444913852,0.0,0.0,-5.329070518200751e-15,0.0,0.013843751512467861
50,1,90,-964.898397114936,-964.8983971149355,9.094947017729283e-15,0.0,-5.329070518200751e-15,0.0,0.015040801838040352
50,2,91,-953.83764966905,-953.8376496690504,0.0,0.0,-5.329070518200751e-15,0.0,0.015047142282128334
50,3,96,-906.7593179392402,-906.7593179392404,0.0,0.0,-6.217248937900877e-15,0.0,0.015741214156150818
50,4,90,-964.5896142653883,-964.5896142653885,0.0,0.0,-5.329070518200751e-15,0.0,0.015317799523472786
50,5,98,-878.268706438808,-878.2687064388077,4.547473508864641e-15,0.0,-3.552713678800501e-15,0.0,0.01625745091587305
50,6,91,-975.5835067730767,-975.5835067730768,0.0,0.0,-5.329070518200751e-15,0.0,0.015352749265730381
50,7,90,-946.3821348140177,-946.3821348140174,6.8212102632969615e-15,0.0,-5.329070518200751e-15,0.0,0.015216209925711155
